"Titre de tracé : ird-1"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21337714, SEN S/N: 21337714)","Conductance spécifique, μS/cm (LGR S/N: 21337714)","Salinité, ppt (LGR S/N: 21337714)"
1,09/21/22,11:09:44,26.73,0.0,0.0123
2,09/21/22,11:14:44,27.83,0.0,0.0123
3,09/21/22,11:19:44,27.35,0.0,0.0123
4,09/21/22,11:24:44,26.79,0.0,0.0123
5,09/21/22,11:29:44,26.33,0.0,0.0123
6,09/21/22,11:34:44,25.99,0.0,0.0123
7,09/21/22,11:39:44,25.83,0.0,0.0123
8,09/21/22,11:44:44,25.75,0.0,0.0123
9,09/21/22,11:49:44,25.67,0.0,0.0123
10,09/21/22,11:54:44,25.62,0.0,0.0123
11,09/21/22,11:59:44,25.57,0.0,0.0123
12,09/21/22,12:04:44,25.54,0.0,0.0123
13,09/21/22,12:09:44,25.51,0.0,0.0123
14,09/21/22,12:14:44,25.48,0.0,0.0123
15,09/21/22,12:19:44,25.44,0.0,0.0123
16,09/21/22,12:24:44,25.43,0.0,0.0123
17,09/21/22,12:29:44,25.39,0.0,0.0123
18,09/21/22,12:34:44,25.38,0.0,0.0123
19,09/21/22,12:39:44,25.35,0.0,0.0123
20,09/21/22,12:44:44,25.34,0.0,0.0123
21,09/21/22,12:49:44,25.33,0.0,0.0123
22,09/21/22,12:54:44,25.31,0.0,0.0123
23,09/21/22,12:59:44,25.30,0.0,0.0123
24,09/21/22,13:04:44,25.29,0.0,0.0123
25,09/21/22,13:09:44,25.29,0.0,0.0123
26,09/21/22,13:14:44,25.28,0.0,0.0123
27,09/21/22,13:19:44,25.28,0.0,0.0123
28,09/21/22,13:24:44,25.28,0.0,0.0123
29,09/21/22,13:29:44,25.28,0.0,0.0123
30,09/21/22,13:34:44,25.28,0.0,0.0123
31,09/21/22,13:39:44,25.29,0.0,0.0123
32,09/21/22,13:44:44,25.29,0.0,0.0123
33,09/21/22,13:49:44,25.29,0.0,0.0123
34,09/21/22,13:54:44,25.30,0.0,0.0123
35,09/21/22,13:59:44,25.30,0.0,0.0123
36,09/21/22,14:04:44,25.30,0.0,0.0123
37,09/21/22,14:09:44,25.31,0.0,0.0123
38,09/21/22,14:14:44,25.31,0.0,0.0123
39,09/21/22,14:19:44,25.33,0.0,0.0123
40,09/21/22,14:24:44,25.33,0.0,0.0123
41,09/21/22,14:29:44,25.33,0.0,0.0123
42,09/21/22,14:34:44,25.34,0.0,0.0123
43,09/21/22,14:39:44,25.34,0.0,0.0123
44,09/21/22,14:44:44,25.35,0.0,0.0123
45,09/21/22,14:49:44,25.35,0.0,0.0123
46,09/21/22,14:54:44,25.36,0.0,0.0123
47,09/21/22,14:59:44,25.38,0.0,0.0123
48,09/21/22,15:04:44,25.39,0.0,0.0123
49,09/21/22,15:09:44,25.40,0.0,0.0123
50,09/21/22,15:14:44,25.40,0.0,0.0123
51,09/21/22,15:19:44,25.41,0.0,0.0123
52,09/21/22,15:24:44,25.41,0.0,0.0123
53,09/21/22,15:29:44,25.43,0.0,0.0123
54,09/21/22,15:34:44,25.43,0.0,0.0123
55,09/21/22,15:39:44,25.44,0.0,0.0123
56,09/21/22,15:44:44,25.44,0.0,0.0123
57,09/21/22,15:49:44,25.50,0.0,0.0123
58,09/21/22,15:54:44,26.37,0.0,0.0123
59,09/21/22,15:59:44,27.88,0.0,0.0123
60,09/21/22,16:04:44,29.66,0.0,0.0123
61,09/21/22,16:09:44,30.58,0.0,0.0123
62,09/21/22,16:14:44,31.12,0.0,0.0123
63,09/21/22,16:19:44,31.44,0.0,0.0123
64,09/21/22,16:24:44,31.71,0.0,0.0123
65,09/21/22,16:29:44,31.91,0.0,0.0123
66,09/21/22,16:34:44,31.98,0.0,0.0123
67,09/21/22,16:39:44,32.08,0.0,0.0123
68,09/21/22,16:44:44,31.87,0.0,0.0123
69,09/21/22,16:49:44,31.86,0.0,0.0123
70,09/21/22,16:54:44,31.83,0.0,0.0123
71,09/21/22,16:59:44,31.84,0.0,0.0123
72,09/21/22,17:04:44,31.81,0.0,0.0123
73,09/21/22,17:09:44,31.77,0.0,0.0123
74,09/21/22,17:14:44,31.55,0.0,0.0123
75,09/21/22,17:19:44,31.33,0.0,0.0123
76,09/21/22,17:24:44,31.14,0.0,0.0123
77,09/21/22,17:29:44,30.70,0.0,0.0123
78,09/21/22,17:34:44,30.33,0.0,0.0123
79,09/21/22,17:39:44,30.02,0.0,0.0123
80,09/21/22,17:44:44,29.77,0.0,0.0123
81,09/21/22,17:49:44,29.58,0.0,0.0123
82,09/21/22,17:54:44,29.38,0.0,0.0123
83,09/21/22,17:59:44,29.25,0.0,0.0123
84,09/21/22,18:04:44,29.25,0.0,0.0123
85,09/21/22,18:09:44,29.15,0.0,0.0123
86,09/21/22,18:14:44,29.05,0.0,0.0123
87,09/21/22,18:19:44,28.94,0.0,0.0123
88,09/21/22,18:24:44,28.84,0.0,0.0123
89,09/21/22,18:29:44,28.74,0.0,0.0123
90,09/21/22,18:34:44,28.65,0.0,0.0123
91,09/21/22,18:39:44,28.58,0.0,0.0123
92,09/21/22,18:44:44,28.52,0.0,0.0123
93,09/21/22,18:49:44,28.46,0.0,0.0123
94,09/21/22,18:54:44,28.39,0.0,0.0123
95,09/21/22,18:59:44,28.36,0.0,0.0123
96,09/21/22,19:04:44,28.31,0.0,0.0123
97,09/21/22,19:09:44,28.28,0.0,0.0123
98,09/21/22,19:14:44,28.26,0.0,0.0123
99,09/21/22,19:19:44,28.23,0.0,0.0123
100,09/21/22,19:24:44,28.19,0.0,0.0123
101,09/21/22,19:29:44,28.16,0.0,0.0123
102,09/21/22,19:34:44,28.12,0.0,0.0123
103,09/21/22,19:39:44,28.11,0.0,0.0123
104,09/21/22,19:44:44,28.07,0.0,0.0123
105,09/21/22,19:49:44,28.04,0.0,0.0123
106,09/21/22,19:54:44,28.03,0.0,0.0123
107,09/21/22,19:59:44,28.03,0.0,0.0123
108,09/21/22,20:04:44,28.03,0.0,0.0123
109,09/21/22,20:09:44,27.96,0.0,0.0123
110,09/21/22,20:14:44,27.96,0.0,0.0123
111,09/21/22,20:19:44,27.95,0.0,0.0123
112,09/21/22,20:24:44,27.95,0.0,0.0123
113,09/21/22,20:29:44,27.93,0.0,0.0123
114,09/21/22,20:34:44,27.91,0.0,0.0123
115,09/21/22,20:39:44,27.89,0.0,0.0123
116,09/21/22,20:44:44,27.91,0.0,0.0123
117,09/21/22,20:49:44,27.91,0.0,0.0123
118,09/21/22,20:54:44,27.88,0.0,0.0123
119,09/21/22,20:59:44,27.87,0.0,0.0123
120,09/21/22,21:04:44,27.89,0.0,0.0123
121,09/21/22,21:09:44,27.85,0.0,0.0123
122,09/21/22,21:14:44,27.85,0.0,0.0123
123,09/21/22,21:19:44,27.83,0.0,0.0123
124,09/21/22,21:24:44,27.79,0.0,0.0123
125,09/21/22,21:29:44,27.77,0.0,0.0123
126,09/21/22,21:34:44,27.73,0.0,0.0123
127,09/21/22,21:39:44,27.68,0.0,0.0123
128,09/21/22,21:44:44,27.66,0.0,0.0123
129,09/21/22,21:49:44,27.68,0.0,0.0123
130,09/21/22,21:54:44,27.66,0.0,0.0123
131,09/21/22,21:59:44,27.66,0.0,0.0123
132,09/21/22,22:04:44,27.64,0.0,0.0123
133,09/21/22,22:09:44,27.61,0.0,0.0123
134,09/21/22,22:14:44,27.61,0.0,0.0123
135,09/21/22,22:19:44,27.59,0.0,0.0123
136,09/21/22,22:24:44,27.57,0.0,0.0123
137,09/21/22,22:29:44,27.54,0.0,0.0123
138,09/21/22,22:34:44,27.48,0.0,0.0123
139,09/21/22,22:39:44,27.47,0.0,0.0123
140,09/21/22,22:44:44,27.45,0.0,0.0123
141,09/21/22,22:49:44,27.42,0.0,0.0123
142,09/21/22,22:54:44,27.41,0.0,0.0123
143,09/21/22,22:59:44,27.41,0.0,0.0123
144,09/21/22,23:04:44,27.40,0.0,0.0123
145,09/21/22,23:09:44,27.37,0.0,0.0123
146,09/21/22,23:14:44,27.34,0.0,0.0123
147,09/21/22,23:19:44,27.29,0.0,0.0123
148,09/21/22,23:24:44,27.29,0.0,0.0123
149,09/21/22,23:29:44,27.31,0.0,0.0123
150,09/21/22,23:34:44,27.29,0.0,0.0123
151,09/21/22,23:39:44,27.26,0.0,0.0123
152,09/21/22,23:44:44,27.25,0.0,0.0123
153,09/21/22,23:49:44,27.22,0.0,0.0123
154,09/21/22,23:54:44,27.21,0.0,0.0123
155,09/21/22,23:59:44,27.16,0.0,0.0123
156,09/22/22,00:04:44,27.14,0.0,0.0123
157,09/22/22,00:09:44,27.09,0.0,0.0123
158,09/22/22,00:14:44,27.08,0.0,0.0123
159,09/22/22,00:19:44,27.04,0.0,0.0123
160,09/22/22,00:24:44,27.06,0.0,0.0123
161,09/22/22,00:29:44,27.08,0.0,0.0123
162,09/22/22,00:34:44,27.04,0.0,0.0123
163,09/22/22,00:39:44,26.99,0.0,0.0123
164,09/22/22,00:44:44,26.95,0.0,0.0123
