"Titre de tracé : ird-1"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21337714, SEN S/N: 21337714)","Conductance spécifique, μS/cm (LGR S/N: 21337714)","Salinité, ppt (LGR S/N: 21337714)"
1,10/25/22,11:13:05,26.74,0.0,0.0123
2,10/25/22,11:18:05,25.99,0.0,0.0123
3,10/25/22,11:23:05,25.04,0.0,0.0123
4,10/25/22,11:28:05,24.39,0.0,0.0123
5,10/25/22,11:33:05,23.95,0.0,0.0123
6,10/25/22,11:38:05,23.64,0.0,0.0123
7,10/25/22,11:43:05,23.43,0.0,0.0123
8,10/25/22,11:48:05,23.31,0.0,0.0123
9,10/25/22,11:53:05,23.23,0.0,0.0123
10,10/25/22,11:58:05,23.21,0.0,0.0123
11,10/25/22,12:03:05,23.18,0.0,0.0123
12,10/25/22,12:08:05,23.17,0.0,0.0123
13,10/25/22,12:13:05,23.17,0.0,0.0123
14,10/25/22,12:18:05,23.18,0.0,0.0123
15,10/25/22,12:23:05,23.20,0.0,0.0123
16,10/25/22,12:28:05,23.22,0.0,0.0123
17,10/25/22,12:33:05,23.25,0.0,0.0123
18,10/25/22,12:38:05,23.26,0.0,0.0123
19,10/25/22,12:43:05,23.28,0.0,0.0123
20,10/25/22,12:48:05,23.31,0.0,0.0123
21,10/25/22,12:53:05,23.34,0.0,0.0123
22,10/25/22,12:58:05,23.38,0.0,0.0123
23,10/25/22,13:03:05,23.44,0.0,0.0123
24,10/25/22,13:08:05,23.48,0.0,0.0123
25,10/25/22,13:13:05,23.52,0.0,0.0123
26,10/25/22,13:18:05,23.55,0.0,0.0123
27,10/25/22,13:23:05,23.59,0.0,0.0123
28,10/25/22,13:28:05,23.64,0.0,0.0123
29,10/25/22,13:33:05,23.66,0.0,0.0123
30,10/25/22,13:38:05,23.69,0.0,0.0123
31,10/25/22,13:43:05,23.71,0.0,0.0123
32,10/25/22,13:48:05,23.74,0.0,0.0123
33,10/25/22,13:53:05,23.76,0.0,0.0123
34,10/25/22,13:58:05,23.79,0.0,0.0123
35,10/25/22,14:03:05,23.80,0.0,0.0123
36,10/25/22,14:08:05,23.81,0.0,0.0123
37,10/25/22,14:13:05,23.86,0.0,0.0123
38,10/25/22,14:18:05,24.00,0.0,0.0123
39,10/25/22,14:23:05,24.27,0.0,0.0123
40,10/25/22,14:28:05,26.19,0.0,0.0123
41,10/25/22,14:33:05,29.16,0.0,0.0123
42,10/25/22,14:38:05,29.74,0.0,0.0123
43,10/25/22,14:43:05,30.80,0.0,0.0123
44,10/25/22,14:48:05,31.36,0.0,0.0123
45,10/25/22,14:53:05,35.50,9761.1,5.4829
46,10/25/22,14:58:05,36.65,8493.8,4.7219
47,10/25/22,15:03:05,38.51,29783.2,18.4248
48,10/25/22,15:08:05,38.81,29232.5,18.0506
49,10/25/22,15:13:05,38.83,29332.5,18.1185
50,10/25/22,15:18:05,38.83,29236.2,18.0531
51,10/25/22,15:23:05,38.76,29339.4,18.1231
52,10/25/22,15:28:05,38.62,29239.9,18.0556
53,10/25/22,15:33:05,38.62,29253.3,18.0647
54,10/25/22,15:38:05,38.33,29338.6,18.1226
55,10/25/22,15:43:05,38.04,29438.1,18.1902
56,10/25/22,15:48:05,37.48,29544.8,18.2627
57,10/25/22,15:53:05,37.29,29608.4,18.3060
58,10/25/22,15:58:05,37.43,29666.6,18.3455
59,10/25/22,16:03:05,37.29,29719.1,18.3812
60,10/25/22,16:08:05,36.53,29849.3,18.4698
61,10/25/22,16:13:05,35.82,30025.4,18.5897
62,10/25/22,16:18:05,35.80,30037.7,18.5981
63,10/25/22,16:23:05,36.18,29938.1,18.5303
64,10/25/22,16:28:05,36.54,29889.1,18.4969
65,10/25/22,16:33:05,36.18,29992.9,18.5675
66,10/25/22,16:38:05,36.30,29976.4,18.5563
67,10/25/22,16:43:05,36.18,30051.6,18.6075
68,10/25/22,16:48:05,36.93,29855.4,18.4740
69,10/25/22,16:53:05,35.71,30141.1,18.6685
70,10/25/22,16:58:05,35.68,30146.9,18.6724
71,10/25/22,17:03:05,35.64,30165.6,18.6852
72,10/25/22,17:08:05,35.76,30144.6,18.6709
73,10/25/22,17:13:05,36.28,30193.1,18.7039
74,10/25/22,17:18:05,35.65,30237.3,18.7340
75,10/25/22,17:23:05,35.73,30227.2,18.7272
76,10/25/22,17:28:05,35.59,30250.7,18.7432
77,10/25/22,17:33:05,35.57,30277.0,18.7611
78,10/25/22,17:38:05,35.86,30363.4,18.8200
79,10/25/22,17:43:05,35.80,30386.7,18.8359
80,10/25/22,17:48:05,35.64,30426.6,18.8632
81,10/25/22,17:53:05,35.75,30398.9,18.8443
82,10/25/22,17:58:05,35.57,30433.5,18.8678
83,10/25/22,18:03:05,35.57,30475.2,18.8963
84,10/25/22,18:08:05,35.76,30405.6,18.8488
85,10/25/22,18:13:05,35.69,30454.2,18.8820
86,10/25/22,18:18:05,35.58,30573.8,18.9636
