"Titre de tracé : ird-1"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21337714, SEN S/N: 21337714)","Conductance spécifique, μS/cm (LGR S/N: 21337714)","Salinité, ppt (LGR S/N: 21337714)"
1,06/08/22,10:22:16,26.98,0.0,0.0123
2,06/08/22,10:27:16,27.24,0.0,0.0123
3,06/08/22,10:32:16,27.71,0.0,0.0123
4,06/08/22,10:37:16,29.44,0.0,0.0123
5,06/08/22,10:42:16,31.11,0.0,0.0123
6,06/08/22,10:47:16,31.31,0.0,0.0123
7,06/08/22,10:52:16,31.52,0.0,0.0123
8,06/08/22,10:57:16,32.02,0.0,0.0123
9,06/08/22,11:02:16,32.07,0.0,0.0123
10,06/08/22,11:07:16,32.25,0.0,0.0123
11,06/08/22,11:12:16,32.42,0.0,0.0123
12,06/08/22,11:17:16,32.45,0.0,0.0123
13,06/08/22,11:22:16,32.55,0.0,0.0123
14,06/08/22,11:27:16,32.72,0.0,0.0123
15,06/08/22,11:32:16,32.67,0.0,0.0123
16,06/08/22,11:37:16,32.76,0.0,0.0123
17,06/08/22,11:42:16,32.69,0.0,0.0123
18,06/08/22,11:47:16,32.78,0.0,0.0123
19,06/08/22,11:52:16,32.57,0.0,0.0123
20,06/08/22,11:57:16,32.62,0.0,0.0123
21,06/08/22,12:02:16,32.42,0.0,0.0123
22,06/08/22,12:07:16,32.28,0.0,0.0123
23,06/08/22,12:12:16,32.30,0.0,0.0123
24,06/08/22,12:17:16,32.14,0.0,0.0123
25,06/08/22,12:22:16,32.10,0.0,0.0123
26,06/08/22,12:27:16,32.14,0.0,0.0123
27,06/08/22,12:32:16,32.21,0.0,0.0123
28,06/08/22,12:37:16,32.24,0.0,0.0123
29,06/08/22,12:42:16,32.40,0.0,0.0123
30,06/08/22,12:47:16,32.20,0.0,0.0123
31,06/08/22,12:52:16,32.10,0.0,0.0123
32,06/08/22,12:57:16,32.20,0.0,0.0123
33,06/08/22,13:02:16,32.02,0.0,0.0123
34,06/08/22,13:07:16,32.05,0.0,0.0123
35,06/08/22,13:12:16,32.15,0.0,0.0123
36,06/08/22,13:17:16,32.18,0.0,0.0123
37,06/08/22,13:22:16,32.18,0.0,0.0123
38,06/08/22,13:27:16,31.98,0.0,0.0123
39,06/08/22,13:32:16,31.99,0.0,0.0123
40,06/08/22,13:37:16,32.08,0.0,0.0123
41,06/08/22,13:42:16,32.07,0.0,0.0123
42,06/08/22,13:47:16,32.05,0.0,0.0123
43,06/08/22,13:52:16,32.09,0.0,0.0123
44,06/08/22,13:57:16,32.16,0.0,0.0123
45,06/08/22,14:02:16,32.15,0.0,0.0123
46,06/08/22,14:07:16,32.19,0.0,0.0123
47,06/08/22,14:12:16,32.25,0.0,0.0123
48,06/08/22,14:17:16,32.34,0.0,0.0123
49,06/08/22,14:22:16,32.46,0.0,0.0123
50,06/08/22,14:27:16,32.36,0.0,0.0123
51,06/08/22,14:32:16,32.41,0.0,0.0123
52,06/08/22,14:37:16,32.53,0.0,0.0123
53,06/08/22,14:42:16,32.53,0.0,0.0123
54,06/08/22,14:47:16,32.49,0.0,0.0123
55,06/08/22,14:52:16,32.36,0.0,0.0123
56,06/08/22,14:57:16,32.21,0.0,0.0123
57,06/08/22,15:02:16,32.19,0.0,0.0123
58,06/08/22,15:07:16,31.88,0.0,0.0123
59,06/08/22,15:12:16,31.89,0.0,0.0123
60,06/08/22,15:17:16,31.67,0.0,0.0123
61,06/08/22,15:22:16,31.48,0.0,0.0123
62,06/08/22,15:27:16,31.28,0.0,0.0123
63,06/08/22,15:32:16,31.23,0.0,0.0123
64,06/08/22,15:37:16,31.22,0.0,0.0123
65,06/08/22,15:42:16,31.51,0.0,0.0123
66,06/08/22,15:47:16,31.67,0.0,0.0123
67,06/08/22,15:52:16,31.99,0.0,0.0123
68,06/08/22,15:57:16,32.02,0.0,0.0123
69,06/08/22,16:02:16,31.94,0.0,0.0123
70,06/08/22,16:07:16,31.67,0.0,0.0123
71,06/08/22,16:12:16,31.68,0.0,0.0123
72,06/08/22,16:17:16,31.49,0.0,0.0123
73,06/08/22,16:22:16,31.44,0.0,0.0123
74,06/08/22,16:27:16,31.18,0.0,0.0123
75,06/08/22,16:32:16,30.93,0.0,0.0123
76,06/08/22,16:37:16,30.81,0.0,0.0123
77,06/08/22,16:42:16,30.70,0.0,0.0123
78,06/08/22,16:47:16,30.69,0.0,0.0123
79,06/08/22,16:52:16,30.64,0.0,0.0123
80,06/08/22,16:57:16,30.48,0.0,0.0123
81,06/08/22,17:02:16,30.37,0.0,0.0123
82,06/08/22,17:07:16,30.23,0.0,0.0123
83,06/08/22,17:12:16,30.00,0.0,0.0123
84,06/08/22,17:17:16,29.86,0.0,0.0123
85,06/08/22,17:22:16,29.70,0.0,0.0123
86,06/08/22,17:27:16,29.59,0.0,0.0123
87,06/08/22,17:32:16,29.45,0.0,0.0123
88,06/08/22,17:37:16,29.32,0.0,0.0123
89,06/08/22,17:42:16,29.22,0.0,0.0123
90,06/08/22,17:47:16,29.10,0.0,0.0123
91,06/08/22,17:52:16,28.99,0.0,0.0123
92,06/08/22,17:57:16,28.88,0.0,0.0123
93,06/08/22,18:02:16,28.78,0.0,0.0123
94,06/08/22,18:07:16,28.67,0.0,0.0123
95,06/08/22,18:12:16,28.58,0.0,0.0123
96,06/08/22,18:17:16,28.51,0.0,0.0123
97,06/08/22,18:22:16,28.43,0.0,0.0123
98,06/08/22,18:27:16,28.35,0.0,0.0123
99,06/08/22,18:32:16,28.26,0.0,0.0123
100,06/08/22,18:37:16,28.20,0.0,0.0123
101,06/08/22,18:42:16,28.12,0.0,0.0123
102,06/08/22,18:47:16,28.07,0.0,0.0123
103,06/08/22,18:52:16,28.03,0.0,0.0123
104,06/08/22,18:57:16,27.98,0.0,0.0123
105,06/08/22,19:02:16,27.94,0.0,0.0123
106,06/08/22,19:07:16,27.88,0.0,0.0123
107,06/08/22,19:12:16,27.84,0.0,0.0123
108,06/08/22,19:17:16,27.80,0.0,0.0123
109,06/08/22,19:22:16,27.77,0.0,0.0123
110,06/08/22,19:27:16,27.75,0.0,0.0123
111,06/08/22,19:32:16,27.74,0.0,0.0123
112,06/08/22,19:37:16,27.71,0.0,0.0123
113,06/08/22,19:42:16,27.67,0.0,0.0123
114,06/08/22,19:47:16,27.66,0.0,0.0123
115,06/08/22,19:52:16,27.64,0.0,0.0123
116,06/08/22,19:57:16,27.59,0.0,0.0123
117,06/08/22,20:02:16,27.56,0.0,0.0123
118,06/08/22,20:07:16,27.52,0.0,0.0123
119,06/08/22,20:12:16,27.48,0.0,0.0123
120,06/08/22,20:17:16,27.47,0.0,0.0123
121,06/08/22,20:22:16,27.41,0.0,0.0123
122,06/08/22,20:27:16,27.32,0.0,0.0123
123,06/08/22,20:32:16,27.25,0.0,0.0123
124,06/08/22,20:37:16,27.19,0.0,0.0123
125,06/08/22,20:42:16,27.13,0.0,0.0123
126,06/08/22,20:47:16,27.04,0.0,0.0123
127,06/08/22,20:52:16,26.94,0.0,0.0123
128,06/08/22,20:57:16,26.94,0.0,0.0123
129,06/08/22,21:02:16,26.95,0.0,0.0123
130,06/08/22,21:07:16,26.99,0.0,0.0123
131,06/08/22,21:12:16,26.97,0.0,0.0123
132,06/08/22,21:17:16,26.94,0.0,0.0123
133,06/08/22,21:22:16,26.98,0.0,0.0123
134,06/08/22,21:27:16,26.94,0.0,0.0123
135,06/08/22,21:32:16,26.88,0.0,0.0123
136,06/08/22,21:37:16,26.82,0.0,0.0123
137,06/08/22,21:42:16,26.73,0.0,0.0123
138,06/08/22,21:47:16,26.67,0.0,0.0123
139,06/08/22,21:52:16,26.63,0.0,0.0123
140,06/08/22,21:57:16,26.58,0.0,0.0123
141,06/08/22,22:02:16,26.58,0.0,0.0123
142,06/08/22,22:07:16,26.62,0.0,0.0123
143,06/08/22,22:12:16,26.69,0.0,0.0123
144,06/08/22,22:17:16,26.79,0.0,0.0123
145,06/08/22,22:22:16,26.82,0.0,0.0123
146,06/08/22,22:27:16,26.83,0.0,0.0123
147,06/08/22,22:32:16,26.92,0.0,0.0123
148,06/08/22,22:37:16,26.92,0.0,0.0123
