SP2T 10m SI - CAY2 - 33110 sn:33110 Sonde standard_33110_20220602_163303_H23cm.txt
Cadence d'enregistrement	0,5	s 
  VOIE:1 Profondeur 10m Unité=m
0,025	20/05/2022	09:47:30:440
0,025	20/05/2022	09:47:30:940
0,025	20/05/2022	09:47:31:440
0,025	20/05/2022	09:47:31:940
0,025	20/05/2022	09:47:32:440
0,025	20/05/2022	09:47:32:940
0,025	20/05/2022	09:47:33:440
0,025	20/05/2022	09:47:33:940
0,025	20/05/2022	09:47:34:440
0,025	20/05/2022	09:47:34:940
0,025	20/05/2022	09:47:35:440
0,025	20/05/2022	09:47:35:940
0,025	20/05/2022	09:47:36:440
0,025	20/05/2022	09:47:36:940
0,025	20/05/2022	09:47:37:440
0,025	20/05/2022	09:47:37:940
0,025	20/05/2022	09:47:38:440
0,025	20/05/2022	09:47:38:940
0,022	20/05/2022	09:47:39:440
0,022	20/05/2022	09:47:39:940
0,022	20/05/2022	09:47:40:440
0,022	20/05/2022	09:47:40:940
0,022	20/05/2022	09:47:41:440
0,022	20/05/2022	09:47:41:940
0,022	20/05/2022	09:47:42:440
0,022	20/05/2022	09:47:42:940
0,022	20/05/2022	09:47:43:440
0,022	20/05/2022	09:47:43:940
0,022	20/05/2022	09:47:44:440
0,022	20/05/2022	09:47:44:940
0,022	20/05/2022	09:47:45:440
0,022	20/05/2022	09:47:45:940
0,022	20/05/2022	09:47:46:440
0,022	20/05/2022	09:47:46:940
0,022	20/05/2022	09:47:47:440
0,022	20/05/2022	09:47:47:940
0,022	20/05/2022	09:47:48:440
0,022	20/05/2022	09:47:48:940
0,022	20/05/2022	09:47:49:440
0,022	20/05/2022	09:47:49:940
0,022	20/05/2022	09:47:50:440
0,022	20/05/2022	09:47:50:940
0,022	20/05/2022	09:47:51:440
0,022	20/05/2022	09:47:51:940
0,022	20/05/2022	09:47:52:440
0,022	20/05/2022	09:47:52:940
0,022	20/05/2022	09:47:53:440
0,022	20/05/2022	09:47:53:940
0,022	20/05/2022	09:47:54:440
0,022	20/05/2022	09:47:54:940
0,022	20/05/2022	09:47:55:440
0,022	20/05/2022	09:47:55:940
0,022	20/05/2022	09:47:56:440
0,022	20/05/2022	09:47:56:940
0,022	20/05/2022	09:47:57:440
0,022	20/05/2022	09:47:57:940
0,022	20/05/2022	09:47:58:440
0,022	20/05/2022	09:47:58:940
0,022	20/05/2022	09:47:59:440
0,022	20/05/2022	09:47:59:940
0,022	20/05/2022	09:48:00:440
0,022	20/05/2022	09:48:00:940
0,022	20/05/2022	09:48:01:440
0,022	20/05/2022	09:48:01:940
0,022	20/05/2022	09:48:02:440
0,022	20/05/2022	09:48:02:940
0,022	20/05/2022	09:48:03:440
0,022	20/05/2022	09:48:03:940
0,022	20/05/2022	09:48:04:440
0,022	20/05/2022	09:48:04:940
0,022	20/05/2022	09:48:05:440
0,022	20/05/2022	09:48:05:940
0,022	20/05/2022	09:48:06:440
0,022	20/05/2022	09:48:06:940
0,022	20/05/2022	09:48:07:440
0,022	20/05/2022	09:48:07:940
0,022	20/05/2022	09:48:08:440
0,022	20/05/2022	09:48:08:940
0,022	20/05/2022	09:48:09:440
0,022	20/05/2022	09:48:09:940
0,022	20/05/2022	09:48:10:440
0,022	20/05/2022	09:48:10:940
0,022	20/05/2022	09:48:11:440
0,022	20/05/2022	09:48:11:940
0,022	20/05/2022	09:48:12:440
0,022	20/05/2022	09:48:12:940
0,022	20/05/2022	09:48:13:440
0,022	20/05/2022	09:48:13:940
0,022	20/05/2022	09:48:14:440
0,022	20/05/2022	09:48:14:940
0,022	20/05/2022	09:48:15:440
0,022	20/05/2022	09:48:15:940
0,022	20/05/2022	09:48:16:440
0,022	20/05/2022	09:48:16:940
0,022	20/05/2022	09:48:17:440
0,022	20/05/2022	09:48:17:940
0,022	20/05/2022	09:48:18:440
0,022	20/05/2022	09:48:18:940
0,022	20/05/2022	09:48:19:440
0,022	20/05/2022	09:48:19:940
0,022	20/05/2022	09:48:20:440
0,022	20/05/2022	09:48:20:940
0,022	20/05/2022	09:48:21:440
0,022	20/05/2022	09:48:21:940
0,022	20/05/2022	09:48:22:440
0,022	20/05/2022	09:48:22:940
0,022	20/05/2022	09:48:23:440
0,022	20/05/2022	09:48:23:940
0,022	20/05/2022	09:48:24:440
0,022	20/05/2022	09:48:24:940
0,022	20/05/2022	09:48:25:440
0,022	20/05/2022	09:48:25:940
0,022	20/05/2022	09:48:26:440
0,022	20/05/2022	09:48:26:940
0,022	20/05/2022	09:48:27:440
0,022	20/05/2022	09:48:27:940
0,022	20/05/2022	09:48:28:440
0,022	20/05/2022	09:48:28:940
0,022	20/05/2022	09:48:29:440
0,022	20/05/2022	09:48:29:940
0,022	20/05/2022	09:48:30:440
0,022	20/05/2022	09:48:30:940
0,022	20/05/2022	09:48:31:440
0,022	20/05/2022	09:48:31:940
