

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                              Mean
 6  ND Count                              Mean
 7  FD Count                              Mean
 9  Battery                               Mean

17:05:00 09/21/2022     9.80     0.00     0.00  32743.03  32801.77      4.4 
17:10:00 09/21/2022     9.80     0.00     0.00  32743.17  32802.04      4.4 
17:15:00 09/21/2022     9.81     0.00     0.86  32759.27  32790.23      4.4 
17:20:00 09/21/2022     9.83     0.00     1.65  32773.70  32786.13      4.4 
17:25:00 09/21/2022     9.83     0.00     2.15  32782.67  33071.00      4.4 
17:30:00 09/21/2022     9.83     0.00     2.38  32786.96  33084.13      4.4 
17:35:00 09/21/2022     9.83     0.00     2.39  32787.10  33088.20      4.4 
17:40:00 09/21/2022     9.83     0.00     2.35  32786.30  33087.27      4.4 
17:45:00 09/21/2022     9.83     0.00     2.32  32785.87  33087.93      4.4 
17:50:00 09/21/2022     9.83     0.00     2.34  32786.23  33088.93      4.4 
17:55:00 09/21/2022     9.83     0.00     2.36  32786.63  33090.00      4.4 
18:00:00 09/21/2022     9.83     0.00     2.30  32785.40  33083.60      4.4 
18:05:00 09/21/2022     9.83     0.00     2.35  32786.43  33085.93      4.4 
18:10:00 09/21/2022     9.83     0.00     2.33  32786.00  33084.30      4.4 
18:15:00 09/21/2022     9.83     0.00     2.34  32786.23  33085.80      4.4 
18:20:00 09/21/2022     9.83     0.00     2.36  32786.57  33086.07      4.4 
18:25:00 09/21/2022     9.83     0.00     2.39  32787.17  33088.83      4.4 
18:30:00 09/21/2022     9.84     0.00     2.36  32786.50  33089.73      4.4 
18:35:00 09/21/2022     9.84     0.00     2.41  32787.57  33092.80      4.4 
18:40:00 09/21/2022     9.84     0.00     2.44  32788.10  33097.37      4.4 
18:45:00 09/21/2022     9.84     0.00     2.45  32788.17  33098.07      4.4 
18:50:00 09/21/2022     9.84     0.00     2.44  32788.04  33100.40      4.4 
18:55:00 09/21/2022     9.84     0.00     2.43  32787.77  33102.90      4.4 
19:00:00 09/21/2022     9.84     0.00     2.44  32787.93  33106.63      4.4 
19:05:00 09/21/2022     9.84     0.00     2.39  32787.10  33102.60      4.4 
19:10:00 09/21/2022     9.84     0.00     2.41  32787.54  33108.60      4.4 
19:15:00 09/21/2022     9.84     0.00     2.41  32787.50  33114.43      4.4 
19:20:00 09/21/2022     9.84     0.00     2.41  32787.57  33115.23      4.4 
19:25:00 09/21/2022     9.84     0.00     2.44  32788.10  33117.07      4.4 
19:30:00 09/21/2022     9.84     0.00     2.45  32788.13  33117.13      4.4 
19:35:00 09/21/2022     9.84     0.00     2.43  32787.80  33117.93      4.4 
19:40:00 09/21/2022     9.84     0.00     2.44  32788.00  33114.87      4.4 
19:45:00 09/21/2022     9.84     0.00     2.43  32787.87  33116.50      4.4 
19:50:00 09/21/2022     9.84     0.00     2.44  32788.04  33114.67      4.4 
19:55:00 09/21/2022     9.85     0.00     2.44  32788.00  33115.77      4.4 
20:00:00 09/21/2022     9.85     0.00     2.43  32787.80  33120.27      4.4 
20:05:00 09/21/2022     9.85     0.00     2.40  32787.33  33123.80      4.4 
20:10:00 09/21/2022     9.85     0.00     2.44  32787.96  33123.00      4.3 
20:15:00 09/21/2022     9.85     0.00     2.44  32787.96  33125.90      4.3 
20:20:00 09/21/2022     9.85     0.00     2.44  32788.04  33127.23      4.3 
20:25:00 09/21/2022     9.85     0.00     2.44  32788.04  33128.67      4.3 
20:30:00 09/21/2022     9.85     0.00     2.43  32787.87  33122.37      4.3 
20:35:00 09/21/2022     9.85     0.00     2.41  32787.43  33127.17      4.3 
20:40:00 09/21/2022     9.85     0.00     2.39  32787.07  33121.93      4.3 
20:45:00 09/21/2022     9.85     0.00     2.38  32787.04  33124.73      4.3 
20:50:00 09/21/2022     9.86     0.00     2.42  32787.73  33122.63      4.3 
20:55:00 09/21/2022     9.86     0.00     2.44  32788.00  33117.96      4.3 
21:00:00 09/21/2022     9.86     0.00     2.46  32788.46  33120.73      4.3 
21:05:00 09/21/2022     9.86     0.00     2.47  32788.54  33115.93      4.3 
21:10:00 09/21/2022     9.86     0.00     2.48  32788.80  33117.70      4.3 
21:15:00 09/21/2022     9.86     0.00     2.47  32788.57  33111.33      4.3 
21:20:00 09/21/2022     9.86     0.00     2.45  32788.27  33113.80      4.3 
21:25:00 09/21/2022     9.86     0.00     2.49  32788.90  33118.07      4.3 
21:30:00 09/21/2022     9.86     0.00     2.49  32789.04  33114.67      4.3 
21:35:00 09/21/2022     9.86     0.00     2.49  32789.04  33114.63      4.3 
21:40:00 09/21/2022     9.86     0.00     2.49  32788.93  33112.77      4.3 
21:45:00 09/21/2022     9.86     0.00     2.53  32789.60  33112.90      4.3 
21:50:00 09/21/2022     9.86     0.00     2.50  32789.10  33113.33      4.3 
21:55:00 09/21/2022     9.86     0.00     2.49  32789.04  33112.27      4.3 
22:00:00 09/21/2022     9.86     0.00     2.49  32788.90  33115.13      4.3 
22:05:00 09/21/2022     9.86     0.00     2.49  32788.87  33117.77      4.3 
22:10:00 09/21/2022     9.86     0.00     2.49  32789.04  33119.57      4.3 
22:15:00 09/21/2022     9.86     0.00     2.48  32788.77  33118.73      4.3 
22:20:00 09/21/2022     9.86     0.00     2.48  32788.67  33118.50      4.3 
22:25:00 09/21/2022     9.86     0.00     2.47  32788.57  33120.20      4.3 
22:30:00 09/21/2022     9.86     0.00     2.45  32788.20  33122.57      4.3 
22:35:00 09/21/2022     9.86     0.00     2.41  32787.46  33121.73      4.3 
22:40:00 09/21/2022     9.86     0.00     2.39  32787.20  33118.73      4.3 
22:45:00 09/21/2022     9.86     0.00     2.38  32786.90  33117.93      4.3 
22:50:00 09/21/2022     9.86     0.00     2.40  32787.23  33116.96      4.3 
22:55:00 09/21/2022     9.86     0.00     2.39  32787.13  33118.23      4.3 
23:00:00 09/21/2022     9.86     0.00     2.39  32787.10  33117.50      4.3 
