

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.

18:55:00 02/01/2023     0.00     0.00     5.99     0.03 
19:00:00 02/01/2023     0.00     0.00     6.04     0.04 
19:05:00 02/01/2023     0.00     0.00     6.00     0.02 
19:10:00 02/01/2023     0.00     0.00     6.00     0.04 
19:15:00 02/01/2023     0.00     0.00     5.98     0.02 
19:20:00 02/01/2023     0.00     0.00     5.92     0.25 
19:25:00 02/01/2023     0.00     0.00     5.98     0.03 
19:30:00 02/01/2023     0.00     0.00     5.94     0.03 
19:35:00 02/01/2023     0.00     0.00     5.98     0.16 
19:40:00 02/01/2023     0.00     0.00     6.00     0.03 
19:45:00 02/01/2023     0.00     0.00     5.96     0.03 
19:50:00 02/01/2023     0.00     0.00     6.00     0.02 
19:55:00 02/01/2023     0.00     0.00     5.95     0.03 
20:00:00 02/01/2023     0.00     0.00     5.97     0.03 
20:05:00 02/01/2023     0.00     0.00     5.98     0.03 
20:10:00 02/01/2023     0.00     0.00     5.97     0.03 
20:15:00 02/01/2023     0.00     0.00     5.98     0.02 
20:20:00 02/01/2023     0.00     0.00     5.97     0.03 
20:25:00 02/01/2023     0.00     0.00     5.94     0.03 
20:30:00 02/01/2023     0.00     0.00     5.91     0.03 
20:35:00 02/01/2023     0.00     0.00     5.90     0.02 
20:40:00 02/01/2023     0.00     0.00     5.90     0.03 
20:45:00 02/01/2023     0.00     0.00     5.88     0.02 
20:50:00 02/01/2023     0.00     0.00     5.88     0.02 
20:55:00 02/01/2023     0.00     0.00     5.88     0.03 
21:00:00 02/01/2023     0.00     0.00     5.89     0.03 
21:05:00 02/01/2023     0.00     0.00     5.82     0.03 
21:10:00 02/01/2023     0.00     0.00     5.84     0.02 
21:15:00 02/01/2023     0.00     0.00     5.81     0.03 
21:20:00 02/01/2023     0.00     0.00     5.88     0.03 
21:25:00 02/01/2023     0.00     0.00     5.75     0.03 
21:30:00 02/01/2023     0.00     0.00     5.80     0.03 
21:35:00 02/01/2023     0.00     0.00     5.85     0.03 
21:40:00 02/01/2023     0.00     0.00     5.83     0.03 
21:45:00 02/01/2023     0.00     0.00     5.82     0.02 
21:50:00 02/01/2023     0.00     0.00     5.83     0.25 
21:55:00 02/01/2023     0.00     0.00     5.56     0.03 
22:00:00 02/01/2023     0.00     0.00     5.79     0.09 
22:05:00 02/01/2023     0.00     0.00     5.85     0.07 
22:10:00 02/01/2023     0.00     0.00     5.79     0.03 
22:15:00 02/01/2023     0.00     0.00     5.82     0.03 
22:20:00 02/01/2023     0.00     0.00     5.81     0.03 
22:25:00 02/01/2023     0.00     0.00     5.79     0.03 
22:30:00 02/01/2023     0.00     0.00     5.80     0.03 
22:35:00 02/01/2023     0.00     0.00     5.81     0.03 
22:40:00 02/01/2023     0.00     0.00     5.78     0.02 
22:45:00 02/01/2023     0.00     0.00     5.77     0.02 
22:50:00 02/01/2023     0.00     0.00     5.79     0.03 
22:55:00 02/01/2023     0.00     0.00     5.81     0.04 
23:00:00 02/01/2023     0.00     0.00     5.78     0.03 
23:05:00 02/01/2023     0.00     0.00     5.15     0.05 
23:10:00 02/01/2023     0.00     0.00     5.62     0.03 
23:15:00 02/01/2023     0.00     0.00     5.74     0.03 
23:20:00 02/01/2023     0.00     0.00     5.73     0.03 
23:25:00 02/01/2023     0.00     0.00    16.68     6.50 
23:30:00 02/01/2023     0.00     0.00     7.60     5.65 
23:35:00 02/01/2023     0.00     0.00     5.71     0.03 
23:40:00 02/01/2023     0.00     0.00     5.75     0.03 
23:45:00 02/01/2023     0.00     0.00     5.71     0.03 
23:50:00 02/01/2023     0.00     0.00     5.70     0.03 
23:55:00 02/01/2023     0.00     0.00     5.71     0.03 
00:00:00 02/02/2023     0.00     0.00     5.71     0.02 
00:05:00 02/02/2023     0.00     0.00     5.65     0.03 
00:10:00 02/02/2023     0.00     0.00     5.70     0.03 
00:15:00 02/02/2023     0.00     0.00     5.69     0.03 
00:20:00 02/02/2023     0.00     0.00     5.67     0.02 
