

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.
 6  ND Count                              Mean
 7  FD Count                              Mean
 9  Battery                               Mean

16:50:00 10/25/2022    10.26     0.03   443.00    76.24  39922.50  38394.70      4.6 
16:55:00 10/25/2022    10.29     0.04   290.82    16.06  37960.20  38271.30      4.6 
17:00:00 10/25/2022    10.31     0.05   449.11   119.63  39915.27  38159.60      4.6 
17:05:00 10/25/2022    10.29     0.04   394.26    70.60  39336.04  38480.33      4.6 
17:10:00 10/25/2022    10.29     0.02   338.94    78.12  38586.77  38303.50      4.6 
17:15:00 10/25/2022    10.29     0.05   364.13    72.15  38946.57  38668.13      4.6 
17:20:00 10/25/2022    10.26     0.06   427.79   103.08  39694.10  38538.70      4.6 
17:25:00 10/25/2022    10.16     0.03   427.55   125.52  39648.10  39166.07      4.6 
17:30:00 10/25/2022    10.21     0.04   384.20    82.30  39193.37  38767.20      4.6 
17:35:00 10/25/2022    10.20     0.04   452.11    92.40  40001.37  38258.43      4.6 
17:40:00 10/25/2022    10.22     0.03   242.12    26.98  37187.13  37772.40      4.6 
17:45:00 10/25/2022    10.19     0.04   313.26    66.20  38241.50  38519.33      4.6 
17:50:00 10/25/2022    10.23     0.03   225.53    23.97  36913.30  37502.57      4.6 
17:55:00 10/25/2022    10.18     0.03   418.05    64.62  39639.96  38747.90      4.6 
18:00:00 10/25/2022    10.18     0.03   321.29    21.57  38405.20  38377.37      4.6 
18:05:00 10/25/2022    10.07     0.04   405.46   121.27  39380.50  38763.54      4.6 
18:10:00 10/25/2022    10.07     0.03   325.85    13.17  38473.63  38435.90      4.6 
18:15:00 10/25/2022     9.99     0.03   370.22    88.61  38992.20  38945.83      4.6 
18:20:00 10/25/2022     9.99     0.02   332.88    39.57  38555.73  38521.30      4.6 
18:25:00 10/25/2022     9.95     0.02   324.71    42.56  38437.07  38421.04      4.6 
18:30:00 10/25/2022     9.92     0.02   305.78    41.38  38164.37  38335.93      4.6 
18:35:00 10/25/2022     9.85     0.01   336.24    53.00  38591.17  38628.60      4.6 
18:40:00 10/25/2022     9.79     0.00   456.12   394.16  39036.83  48252.04      4.6 
18:45:00 10/25/2022     9.80     0.00    31.32    51.93  33315.10  39820.43      4.6 
18:50:00 10/25/2022     9.80     0.00   232.13   256.28  36385.33  49151.57      4.6 
18:55:00 10/25/2022     9.82     0.00     2.44     0.07  32788.04  33026.93      4.6 
19:00:00 10/25/2022     9.83     0.00     2.32     0.02  32785.80  32988.00      4.6 
19:05:00 10/25/2022     9.83     0.00     2.31     0.03  32785.70  32991.00      4.6 
19:10:00 10/25/2022     9.83     0.00     2.31     0.02  32785.73  32990.67      4.6 
19:15:00 10/25/2022     9.83     0.00     2.33     0.02  32785.93  32993.07      4.6 
19:20:00 10/25/2022     9.83     0.00     2.33     0.02  32785.93  32991.60      4.6 
19:25:00 10/25/2022     9.83     0.00     2.33     0.02  32786.04  32984.80      4.6 
19:30:00 10/25/2022     9.83     0.00     2.33     0.02  32786.00  32987.57      4.6 
19:35:00 10/25/2022     9.83     0.00     2.35     0.03  32786.33  32988.96      4.6 
19:40:00 10/25/2022     9.83     0.00     2.34     0.03  32786.20  32987.77      4.6 
19:45:00 10/25/2022     9.83     0.00     2.35     0.03  32786.33  32987.77      4.6 
19:50:00 10/25/2022     9.83     0.00     2.34     0.02  32786.23  32988.04      4.6 
19:55:00 10/25/2022     9.83     0.00     2.35     0.03  32786.30  32988.87      4.6 
20:00:00 10/25/2022     9.84     0.00     2.34     0.03  32786.27  32988.77      4.6 
20:05:00 10/25/2022     9.84     0.00     2.33     0.03  32786.10  32988.46      4.6 
20:10:00 10/25/2022     9.84     0.00     2.33     0.03  32786.07  32988.46      4.6 
20:15:00 10/25/2022     9.84     0.00     2.36     0.03  32786.57  32989.80      4.6 
20:20:00 10/25/2022     9.84     0.00     2.34     0.03  32786.13  32986.07      4.6 
20:25:00 10/25/2022     9.84     0.00     2.35     0.03  32786.30  32984.54      4.6 
20:30:00 10/25/2022     9.84     0.00     2.35     0.03  32786.33  32986.73      4.6 
20:35:00 10/25/2022     9.84     0.00     2.33     0.02  32786.00  32986.30      4.6 
20:40:00 10/25/2022     9.84     0.00     2.32     0.03  32785.77  32987.00      4.6 
20:45:00 10/25/2022     9.84     0.00     2.31     0.03  32785.67  32985.43      4.6 
20:50:00 10/25/2022     9.84     0.00     2.31     0.03  32785.73  32982.57      4.6 
20:55:00 10/25/2022     9.84     0.00     2.32     0.04  32785.90  32983.10      4.6 
21:00:00 10/25/2022     9.84     0.00     2.30     0.03  32785.50  32984.13      4.6 
21:05:00 10/25/2022     9.84     0.00     2.31     0.05  32785.57  32981.87      4.6 
21:10:00 10/25/2022     9.84     0.00     2.29     0.02  32785.27  32984.33      4.6 
21:15:00 10/25/2022     9.84     0.00     2.28     0.03  32785.17  32980.33      4.5 
